smiles,cal_solv_free
O[C@H]1CCc2ccccc21,-6.412066608
C=Cc1cnc(O)nc1O,-10.90670111
CNc1nccnc1C,-7.725639566
N#Cc1nc(C2CC2)oc1N,-13.04654158
CC(N)c1ccccc1,-6.3645139
O/N=C/c1ccco1,-7.062907429
Cc1c(CN)cnn1O,-11.38830248
O=C(O)c1cccc(F)c1,-7.679461105
CC(C)c1ccc(CN)cc1,-6.537857262
Cc1nnc(C)n1N,-15.90014958
NOCc1ccc(O)cc1,-13.27792962
CN(C)C(=N)c1ccccc1,-9.235365875
C=Cc1cncs1,-5.403243881
CCn1cccc(N)c1=O,-10.01216678
C#Cc1c(C)noc1C,-6.790574365
COc1ccccc1N,-7.222401646
NCCc1nnc(N)o1,-15.27491117
Oc1ccccc1O,-8.276185464
OCc1cc(C(F)F)n[nH]1,-11.62056276
Nc1ccc([N+](=O)[O-])cc1,-11.34873798
NCc1nnc(O)o1,-15.43312527
NC(=S)c1nccs1,-9.081086266
NC1CCc2c(O)cccc21,-9.597878402
Cn1c(=O)ssc1=O,-6.654310568
CC(=O)c1ccc(N)nc1,-11.49872542
Cc1[nH][nH]c(=O)c1CCO,-17.93821421
Cc1conc1CO,-8.672351353
NC[C@H]1C[C@@H]1c1c[nH]cn1,-13.68994014
Cc1nccc(C(C)N)n1,-8.437838315
CNCc1cccc(O)c1,-8.36975348
COC(=O)c1ccccc1,-6.080873105
COc1c[nH]cc(C)c1=O,-16.96871126
CCc1c[nH]c(C=O)c1,-10.0825483
N[C@H]1C[C@@H]1c1c[nH]cn1,-13.39220547
CSc1nccnc1C,-5.267042836
Cc1c[nH]c(=O)c(O)c1,-15.59736973
NNC(=O)Cn1ccnn1,-15.72579593
CC(C)c1n[nH]c(N)n1,-13.54142735
CCOc1ccccc1N,-7.349547722
NNC(=O)c1ccccc1,-10.8370224
Oc1cccc2c1CCN2,-9.222037562
C=CC(CN)c1ccccc1,-7.357171969
Cc1nc(O)c(C)s1,-6.325564354
Cc1cc(C#N)cc(C)c1O,-10.48066574
O=C(O)c1cc(CO)n[nH]1,-14.4374175
Cc1cccc(C/C=N/N)c1,-9.281142729
Oc1ncc(O)c(O)n1,-12.87468542
NC(=O)c1cccnc1,-11.85092168
O=[N+]([O-])c1ccccc1F,-7.206990001
Cc1cccc(C(N)=O)c1,-10.88196467
C[C@@H]1Cc2ccccc2CN1,-5.705954705
NC[C@@H]1C[C@H]1c1c[nH]cn1,-13.35356968
Nc1cccc2c1CNC2=O,-14.1782998
Cc1c[nH]c(=O)c[n+]1[O-],-14.65705855
C#CCn1ccnc1/C=N/O,-15.36021488
O=CCCc1ccccc1,-7.545098664
CSc1cnc(C)cn1,-5.62502474
N=C(N)Nc1cccnc1,-14.97327339
O=C(O)c1cccnc1,-8.875281811
Cc1cc(C)nc(O)n1,-10.37675636
Fc1ccccn1,-5.255270748
CNCc1cccc(C#N)c1,-8.726812946
Cn1ccccc1=N,-10.16350337
C=CC(=O)Nc1ccccc1,-9.861363576
NCc1ccc(CN)cc1,-9.642801843
Cn1sc(Cl)cc1=O,-7.237154406
O=C(O)c1nn[nH]c1S,-14.19167831
CC1CCc2nccnc21,-5.755320917
Cc1ccc(N)cc1.Cl,-7.394333111
CNc1nc(N)cc(O)n1,-12.2036576
OCCCc1c[nH]cn1,-13.11320825
Oc1noc2c1NCCC2,-13.49061786
Cc1n[nH]c(N)c1C(N)=O,-16.43237219
Cc1cc(O)c(C)c(=O)o1,-11.18089788
COc1ccc(NN)cc1,-9.857240835
Oc1ccncc1,-8.710045878
COc1cc(N)ccc1C,-8.122865946
c1cnc2c(n1)CCCC2,-5.619941909
NC1C(=O)Cc2ccccc21,-9.123054135
c1ccc2c(c1)CCNCC2,-5.753143457
COc1ccc(N)cc1N,-10.82772898
CCCc1ccc(N)cc1,-6.766252077
FC(F)(F)c1ccccc1,-3.842155879
NC1CCCc2ncccc21,-8.355929435
CC(CC=O)c1ccccc1,-7.158828608
CCNc1cccc(C)c1,-5.815850531
N#Cc1c(F)cccc1F,-7.074459889
NCc1ccncc1N,-11.93713528
O=c1cccn[nH]1,-9.838233557
Cc1nonc1CN(C)C,-8.583552412
CNc1cc(O)nc(N)n1,-12.03339531
NOC/C=C/c1ccccc1,-8.6392753
ONc1ccccc1,-7.769747244
NCc1cc(=O)c(O)co1,-11.57512476
c1cnc(NC2CC2)nc1,-7.481964883
CC(=O)OCc1ccco1,-7.978093114
[N-]=[N+]=N/C=C/c1ccccc1,-5.398048098
O=C(O)/C=C\c1ncc[nH]1,-12.49622786
Cc1ncsc1C(=O)O,-8.567161851
N[C@H](C(=O)O)c1nnn[nH]1,-18.97483563
N#Cc1ccccn1,-8.406845597
Cc1c[nH]c(=O)oc1=O,-14.31350938
O=c1cc[nH]c(=O)o1,-14.74557511
Cc1cn(C)cc(O)c1=O,-18.73846517
O=C(O)Cc1cccnc1,-10.05907943
CNCC#Cc1cccnc1,-8.762097833
Nc1ccc(C(=O)O)cn1,-12.57223815
